#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.539396
1 0.000000 0.000000 0.000000 0.000000 0.000000 0.582499
2 0.000000 0.000000 0.000000 0.000000 0.000000 0.576725
3 0.000000 0.000000 0.000000 0.000000 0.000000 0.570824
4 0.000000 0.000000 0.000000 0.000000 0.000000 0.525880
5 0.000000 0.000000 0.000000 0.000000 0.000000 0.503879
6 0.000000 0.000000 0.000000 0.000000 0.000000 0.500845
7 0.000000 0.000000 0.000000 0.000000 0.000000 0.507658
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.519642
9 0.000000 0.000000 0.000000 0.000000 0.000000 0.514018
10 0.000000 0.000000 0.000000 0.000000 0.000000 0.524103
11 0.000000 0.000000 0.000000 0.000000 0.000000 0.537263
12 0.000000 0.000000 0.000000 0.000000 0.000000 0.535655
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.537018
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.541207
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.535052
16 0.000000 0.000000 0.000000 0.000000 0.000000 0.536473
17 0.000000 0.000000 0.000000 0.000000 0.000000 0.542609
18 0.000000 0.000000 0.000000 0.000000 0.000000 0.557223
19 0.000000 0.000000 0.000000 0.000000 0.000000 0.564742
20 0.000000 0.000000 0.000000 0.000000 0.000000 0.565568
21 0.000000 0.000000 0.000000 0.000000 0.000000 0.555780
22 0.000000 0.000000 0.000000 0.000000 0.000000 0.573522
23 0.000000 0.000000 0.000000 0.000000 0.000000 0.583048
