#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 12.483468 2.283071
1 0.000000 0.000000 0.000000 0.000000 13.294234 2.273826
2 0.000000 0.000000 0.000000 0.000000 14.772727 2.281048
3 0.000000 0.000000 0.000000 0.000000 15.407091 2.265300
4 0.000000 0.000000 0.000000 0.000000 16.591759 2.298160
5 0.000000 0.000000 0.000000 0.000000 13.473753 2.263051
6 0.000000 0.000000 0.000000 0.000000 13.983539 2.163330
7 0.000000 0.000000 0.000000 0.000000 13.646391 2.048895
8 0.000000 0.000000 0.000000 0.000000 12.867756 2.091020
9 0.000000 0.000000 0.000000 0.000000 15.940819 2.153683
10 0.000000 0.000000 0.000000 0.000000 18.084679 2.200101
11 0.000000 0.000000 0.000000 0.000000 17.696770 2.250145
12 0.000000 0.000000 0.000000 0.000000 23.874439 2.316090
13 0.000000 0.000000 0.000000 0.000000 21.633015 2.321611
14 0.000000 0.000000 0.000000 0.000000 17.849114 2.325078
15 0.000000 0.000000 0.000000 0.000000 17.535851 2.323885
16 0.000000 0.000000 0.000000 0.000000 18.095463 2.272644
17 0.000000 0.000000 0.000000 0.000000 17.292940 2.240335
18 0.000000 0.000000 0.000000 0.000000 17.519631 2.261372
19 0.000000 0.000000 0.000000 0.000000 17.435557 2.283325
20 0.000000 0.000000 0.000000 0.000000 16.602324 2.362978
21 0.000000 0.000000 0.000000 0.000000 18.105159 2.376521
22 0.000000 0.000000 0.000000 0.000000 16.389120 2.298562
23 0.000000 0.000000 0.000000 0.000000 18.298780 2.263623
