#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.834495
1 0.000000 0.000000 0.000000 0.000000 0.000000 0.834228
2 0.000000 0.000000 0.000000 0.000000 0.000000 0.845798
3 0.000000 0.000000 0.000000 0.000000 0.000000 0.830397
4 0.000000 0.000000 0.000000 0.000000 0.000000 0.843074
5 0.000000 0.000000 0.000000 0.000000 0.000000 0.802888
6 0.000000 0.000000 0.000000 0.000000 0.000000 0.759650
7 0.000000 0.000000 0.000000 0.000000 0.000000 0.751221
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.750328
9 0.000000 0.000000 0.000000 0.000000 0.000000 0.759828
10 0.000000 0.000000 0.000000 0.000000 0.000000 0.770717
11 0.000000 0.000000 0.000000 0.000000 0.000000 0.800915
12 0.000000 0.000000 0.000000 0.000000 0.000000 0.832195
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.819408
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.808152
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.796410
16 0.000000 0.000000 0.000000 0.000000 0.000000 0.787067
17 0.000000 0.000000 0.000000 0.000000 0.000000 0.774401
18 0.000000 0.000000 0.000000 0.000000 0.000000 0.767738
19 0.000000 0.000000 0.000000 0.000000 0.000000 0.764799
20 0.000000 0.000000 0.000000 0.000000 0.000000 0.785769
21 0.000000 0.000000 0.000000 0.000000 0.000000 0.812312
22 0.000000 0.000000 0.000000 0.000000 0.000000 0.793551
23 0.000000 0.000000 0.000000 0.000000 0.000000 0.790708
