#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 19.248787 1.842976
1 0.000000 0.000000 0.000000 0.000000 18.206063 1.919974
2 0.000000 0.000000 0.000000 0.000000 18.195601 1.896186
3 0.000000 0.000000 0.000000 0.000000 17.635795 1.843165
4 0.000000 0.000000 0.000000 0.000000 17.892365 1.749135
5 0.000000 0.000000 0.000000 0.000000 18.902619 1.723872
6 0.000000 0.000000 0.000000 0.000000 19.488997 1.748051
7 0.000000 0.000000 0.000000 0.000000 18.373857 1.821047
8 0.000000 0.000000 0.000000 0.000000 18.146962 1.924612
9 0.000000 0.000000 0.000000 0.000000 18.513995 2.004686
10 0.000000 0.000000 0.000000 0.000000 18.017456 2.046772
11 0.000000 0.000000 0.000000 0.000000 20.085677 2.106879
12 0.000000 0.000000 0.000000 0.000000 19.829619 2.099554
13 0.000000 0.000000 0.000000 0.000000 18.858484 2.107328
14 0.000000 0.000000 0.000000 0.000000 19.096210 2.104822
15 0.000000 0.000000 0.000000 0.000000 17.519570 2.052212
16 0.000000 0.000000 0.000000 0.000000 17.746093 1.969698
17 0.000000 0.000000 0.000000 0.000000 18.013907 1.887280
18 0.000000 0.000000 0.000000 0.000000 17.707712 1.890484
19 0.000000 0.000000 0.000000 0.000000 16.500590 1.896726
20 0.000000 0.000000 0.000000 0.000000 17.205533 1.887944
21 0.000000 0.000000 0.000000 0.000000 17.121528 1.845937
22 0.000000 0.000000 0.000000 0.000000 15.672294 1.875643
23 0.000000 0.000000 0.000000 0.000000 14.972516 1.906932
