#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.717468
1 0.000000 0.000000 0.000000 0.000000 0.000000 0.714495
2 0.000000 0.000000 0.000000 0.000000 0.000000 0.705812
3 0.000000 0.000000 0.000000 0.000000 0.000000 0.697252
4 0.000000 0.000000 0.000000 0.000000 0.000000 0.727186
5 0.000000 0.000000 0.000000 0.000000 0.000000 0.728677
6 0.000000 0.000000 0.000000 0.000000 0.000000 0.687460
7 0.000000 0.000000 0.000000 0.000000 0.000000 0.658113
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.657645
9 0.000000 0.000000 0.000000 0.000000 0.000000 0.687186
10 0.000000 0.000000 0.000000 0.000000 0.000000 0.711085
11 0.000000 0.000000 0.000000 0.000000 0.000000 0.727331
12 0.000000 0.000000 0.000000 0.000000 0.000000 0.736850
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.742638
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.745967
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.721067
16 0.000000 0.000000 0.000000 0.000000 0.000000 0.687993
17 0.000000 0.000000 0.000000 0.000000 0.000000 0.668182
18 0.000000 0.000000 0.000000 0.000000 0.000000 0.666660
19 0.000000 0.000000 0.000000 0.000000 0.000000 0.655473
20 0.000000 0.000000 0.000000 0.000000 0.000000 0.674197
21 0.000000 0.000000 0.000000 0.000000 0.000000 0.681295
22 0.000000 0.000000 0.000000 0.000000 0.000000 0.646975
23 0.000000 0.000000 0.000000 0.000000 0.000000 0.637357
