#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.236990
1 0.000000 0.000000 0.000000 0.000000 0.000000 0.234439
2 0.000000 0.000000 0.000000 0.000000 0.000000 0.236043
3 0.000000 0.000000 0.000000 0.000000 0.000000 0.229522
4 0.000000 0.000000 0.000000 0.000000 0.000000 0.235192
5 0.000000 0.000000 0.000000 0.000000 0.000000 0.231650
6 0.000000 0.000000 0.000000 0.000000 0.000000 0.216984
7 0.000000 0.000000 0.000000 0.000000 0.000000 0.193110
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.180996
9 0.000000 0.000000 0.000000 0.000000 0.000000 0.178284
10 0.000000 0.000000 0.000000 0.000000 0.000000 0.179405
11 0.000000 0.000000 0.000000 0.000000 0.000000 0.181315
12 0.000000 0.000000 0.000000 0.000000 0.000000 0.182924
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.183078
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.183904
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.178854
16 0.000000 0.000000 0.000000 0.000000 0.000000 0.172794
17 0.000000 0.000000 0.000000 0.000000 0.000000 0.167343
18 0.000000 0.000000 0.000000 0.000000 0.000000 0.166228
19 0.000000 0.000000 0.000000 0.000000 0.000000 0.163050
20 0.000000 0.000000 0.000000 0.000000 0.000000 0.171437
21 0.000000 0.000000 0.000000 0.000000 0.000000 0.180872
22 0.000000 0.000000 0.000000 0.000000 0.000000 0.184560
23 0.000000 0.000000 0.000000 0.000000 0.000000 0.188119
