#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.806916
1 0.000000 0.000000 0.000000 0.000000 0.000000 0.842951
2 0.000000 0.000000 0.000000 0.000000 0.000000 0.859430
3 0.000000 0.000000 0.000000 0.000000 0.000000 0.846845
4 0.000000 0.000000 0.000000 0.000000 0.000000 0.812208
5 0.000000 0.000000 0.000000 0.000000 0.000000 0.772752
6 0.000000 0.000000 0.000000 0.000000 0.000000 0.770871
7 0.000000 0.000000 0.000000 0.000000 0.000000 0.781421
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.800596
9 0.000000 0.000000 0.000000 0.000000 0.000000 0.801710
10 0.000000 0.000000 0.000000 0.000000 0.000000 0.803494
11 0.000000 0.000000 0.000000 0.000000 0.000000 0.820479
12 0.000000 0.000000 0.000000 0.000000 0.000000 0.813742
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.817814
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.805892
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.791992
16 0.000000 0.000000 0.000000 0.000000 0.000000 0.784642
17 0.000000 0.000000 0.000000 0.000000 0.000000 0.759388
18 0.000000 0.000000 0.000000 0.000000 0.000000 0.739175
19 0.000000 0.000000 0.000000 0.000000 0.000000 0.731195
20 0.000000 0.000000 0.000000 0.000000 0.000000 0.735257
21 0.000000 0.000000 0.000000 0.000000 0.000000 0.720550
22 0.000000 0.000000 0.000000 0.000000 0.000000 0.725585
23 0.000000 0.000000 0.000000 0.000000 0.000000 0.737747
