#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.367466
1 0.000000 0.000000 0.000000 0.000000 0.000000 0.368360
2 0.000000 0.000000 0.000000 0.000000 0.000000 0.367469
3 0.000000 0.000000 0.000000 0.000000 0.000000 0.363814
4 0.000000 0.000000 0.000000 0.000000 0.000000 0.365826
5 0.000000 0.000000 0.000000 0.000000 0.000000 0.356370
6 0.000000 0.000000 0.000000 0.000000 0.000000 0.326754
7 0.000000 0.000000 0.000000 0.000000 0.000000 0.292371
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.300102
9 0.000000 0.000000 0.000000 0.000000 0.000000 0.313102
10 0.000000 0.000000 0.000000 0.000000 0.000000 0.321613
11 0.000000 0.000000 0.000000 0.000000 0.000000 0.325080
12 0.000000 0.000000 0.000000 0.000000 0.000000 0.332722
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.336674
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.340110
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.338440
16 0.000000 0.000000 0.000000 0.000000 0.000000 0.324850
17 0.000000 0.000000 0.000000 0.000000 0.000000 0.318441
18 0.000000 0.000000 0.000000 0.000000 0.000000 0.324749
19 0.000000 0.000000 0.000000 0.000000 0.000000 0.328921
20 0.000000 0.000000 0.000000 0.000000 0.000000 0.350155
21 0.000000 0.000000 0.000000 0.000000 0.000000 0.354439
22 0.000000 0.000000 0.000000 0.000000 0.000000 0.350204
23 0.000000 0.000000 0.000000 0.000000 0.000000 0.345885
