#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.218968
1 0.000000 0.000000 0.000000 0.000000 0.000000 0.260995
2 0.000000 0.000000 0.000000 0.000000 0.000000 0.248277
3 0.000000 0.000000 0.000000 0.000000 0.000000 0.256042
4 0.000000 0.000000 0.000000 0.000000 0.000000 0.211829
5 0.000000 0.000000 0.000000 0.000000 0.000000 0.199224
6 0.000000 0.000000 0.000000 0.000000 0.000000 0.204331
7 0.000000 0.000000 0.000000 0.000000 0.000000 0.221636
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.246179
9 0.000000 0.000000 0.000000 0.000000 0.000000 0.266526
10 0.000000 0.000000 0.000000 0.000000 0.000000 0.279583
11 0.000000 0.000000 0.000000 0.000000 0.000000 0.291637
12 0.000000 0.000000 0.000000 0.000000 0.000000 0.289366
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.285512
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.289273
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.269505
16 0.000000 0.000000 0.000000 0.000000 0.000000 0.249669
17 0.000000 0.000000 0.000000 0.000000 0.000000 0.232343
18 0.000000 0.000000 0.000000 0.000000 0.000000 0.238659
19 0.000000 0.000000 0.000000 0.000000 0.000000 0.241939
20 0.000000 0.000000 0.000000 0.000000 0.000000 0.240591
21 0.000000 0.000000 0.000000 0.000000 0.000000 0.234109
22 0.000000 0.000000 0.000000 0.000000 0.000000 0.261949
23 0.000000 0.000000 0.000000 0.000000 0.000000 0.294657
