date,hour,source_as,target_as,emissions_length_SP,emissions_total_SP,emissions_path_SP,emissions_length_LE,emissions_total_LE,emissions_path_LE,emission_difference
2023-01-10,0,1103-NL-,20766-FR-IDF,1,235.33,1103-NL- -> 20766-FR-IDF,1,235.33,1103-NL- -> 20766-FR-IDF,0.0
2023-01-10,0,1267-IT-82,12552-SE-AB,1,273.69,1267-IT-82 -> 12552-SE-AB,1,273.69,1267-IT-82 -> 12552-SE-AB,0.0
2023-01-10,0,2611-BE-,14061-DE-HE,1,507.17,2611-BE- -> 14061-DE-HE,1,507.17,2611-BE- -> 14061-DE-HE,0.0
2023-01-10,1,1103-NL-,20766-FR-IDF,1,227.02,1103-NL- -> 20766-FR-IDF,1,227.02,1103-NL- -> 20766-FR-IDF,0.0
2023-01-10,1,1267-IT-82,12552-SE-AB,1,281.97,1267-IT-82 -> 12552-SE-AB,1,281.97,1267-IT-82 -> 12552-SE-AB,0.0
2023-01-10,1,2611-BE-,14061-DE-HE,1,492.97,2611-BE- -> 14061-DE-HE,1,492.97,2611-BE- -> 14061-DE-HE,0.0
2023-01-10,2,1103-NL-,20766-FR-IDF,1,246.01,1103-NL- -> 20766-FR-IDF,1,246.01,1103-NL- -> 20766-FR-IDF,0.0
2023-01-10,2,1267-IT-82,12552-SE-AB,1,303.42,1267-IT-82 -> 12552-SE-AB,1,303.42,1267-IT-82 -> 12552-SE-AB,0.0
2023-01-10,2,2611-BE-,14061-DE-HE,1,482.43,2611-BE- -> 14061-DE-HE,1,482.43,2611-BE- -> 14061-DE-HE,0.0
2023-01-10,3,1103-NL-,20766-FR-IDF,1,249.57,1103-NL- -> 20766-FR-IDF,1,249.57,1103-NL- -> 20766-FR-IDF,0.0
2023-01-10,3,1267-IT-82,12552-SE-AB,1,309.0,1267-IT-82 -> 12552-SE-AB,1,309.0,1267-IT-82 -> 12552-SE-AB,0.0
2023-01-10,3,2611-BE-,14061-DE-HE,1,487.57,2611-BE- -> 14061-DE-HE,1,487.57,2611-BE- -> 14061-DE-HE,0.0
2023-01-10,4,1103-NL-,20766-FR-IDF,1,241.17,1103-NL- -> 20766-FR-IDF,1,241.17,1103-NL- -> 20766-FR-IDF,0.0
2023-01-10,4,1267-IT-82,12552-SE-AB,1,301.7,1267-IT-82 -> 12552-SE-AB,1,301.7,1267-IT-82 -> 12552-SE-AB,0.0
2023-01-10,4,2611-BE-,14061-DE-HE,1,510.46,2611-BE- -> 14061-DE-HE,1,510.46,2611-BE- -> 14061-DE-HE,0.0
2023-01-10,5,1103-NL-,20766-FR-IDF,1,251.58,1103-NL- -> 20766-FR-IDF,1,251.58,1103-NL- -> 20766-FR-IDF,0.0
2023-01-10,5,1267-IT-82,12552-SE-AB,1,294.51,1267-IT-82 -> 12552-SE-AB,1,294.51,1267-IT-82 -> 12552-SE-AB,0.0
2023-01-10,5,2611-BE-,14061-DE-HE,1,560.9100000000001,2611-BE- -> 14061-DE-HE,1,560.9100000000001,2611-BE- -> 14061-DE-HE,0.0
2023-01-10,6,1103-NL-,20766-FR-IDF,1,286.91,1103-NL- -> 20766-FR-IDF,1,286.91,1103-NL- -> 20766-FR-IDF,0.0
2023-01-10,6,1267-IT-82,12552-SE-AB,1,293.67,1267-IT-82 -> 12552-SE-AB,1,293.67,1267-IT-82 -> 12552-SE-AB,0.0
2023-01-10,6,2611-BE-,14061-DE-HE,1,559.54,2611-BE- -> 14061-DE-HE,1,559.54,2611-BE- -> 14061-DE-HE,0.0
2023-01-10,7,1103-NL-,20766-FR-IDF,1,291.9,1103-NL- -> 20766-FR-IDF,1,291.9,1103-NL- -> 20766-FR-IDF,0.0
2023-01-10,7,1267-IT-82,12552-SE-AB,1,279.32,1267-IT-82 -> 12552-SE-AB,1,279.32,1267-IT-82 -> 12552-SE-AB,0.0
2023-01-10,7,2611-BE-,14061-DE-HE,1,576.37,2611-BE- -> 14061-DE-HE,1,576.37,2611-BE- -> 14061-DE-HE,0.0
2023-01-10,8,1103-NL-,20766-FR-IDF,1,290.81,1103-NL- -> 20766-FR-IDF,1,290.81,1103-NL- -> 20766-FR-IDF,0.0
2023-01-10,8,1267-IT-82,12552-SE-AB,1,257.74,1267-IT-82 -> 12552-SE-AB,1,257.74,1267-IT-82 -> 12552-SE-AB,0.0
2023-01-10,8,2611-BE-,14061-DE-HE,1,565.66,2611-BE- -> 14061-DE-HE,1,565.66,2611-BE- -> 14061-DE-HE,0.0
