date,hour,source_as,target_as,emissions_length_SP,emissions_total_SP,emissions_path_SP,emissions_length_LE,emissions_total_LE,emissions_path_LE,emission_difference
2023-07-10,23,208353-FR-PAC,204072-EE-37,5,547.88,208353-FR-PAC -> 3215-FR- -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,5,547.88,208353-FR-PAC -> 3215-FR-IDF -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,0.0
2023-07-10,23,33839-RO-CT,15629-HU-,5,1408.65,33839-RO-CT -> 5606-RO- -> 1299-SE- -> 3223-RO- -> 5483-HU-BU -> 15629-HU-,5,1408.65,33839-RO-CT -> 5606-RO-B -> 1299-SE- -> 3223-RO-B -> 5483-HU-PE -> 15629-HU-,0.0
2023-07-10,23,210543-AT-,50988-PL-12,5,1798.4499999999998,210543-AT- -> 1853-AT-1 -> 1764-AT- -> 1299-SE- -> 5617-PL-02 -> 50988-PL-12,5,1798.4499999999998,210543-AT- -> 1853-AT-9 -> 1764-AT-9 -> 1299-SE- -> 5617-PL-14 -> 50988-PL-12,0.0
2023-07-10,23,207322-SE-AB,1303-FR-,5,174.89999999999998,207322-SE-AB -> 3301-SE-AB -> 1299-SE- -> 5511-FR- -> 2200-FR- -> 1303-FR-,5,174.89999999999998,207322-SE-AB -> 3301-SE-AB -> 1299-SE- -> 5511-FR- -> 2200-FR- -> 1303-FR-,0.0
2023-07-10,23,33867-LV-,28685-NL-GE,5,1127.78,33867-LV- -> 5518-LV- -> 1299-SE- -> 5511-FR- -> 1136-NL-GE -> 28685-NL-GE,5,1127.78,33867-LV- -> 5518-LV- -> 1299-SE- -> 5511-FR- -> 1136-NL-NH -> 28685-NL-GE,0.0
2023-07-10,23,204534-PL-06,205403-SI-012,5,2509.01,204534-PL-06 -> 5617-PL-02 -> 1299-SE- -> 3356-US- -> 5603-SI-061 -> 205403-SI-012,5,2509.01,204534-PL-06 -> 5617-PL-14 -> 1299-SE- -> 3356-US-CA -> 5603-SI-061 -> 205403-SI-012,0.0
2023-08-10,0,51024-RO-BC,1926-FI-18,5,686.8600000000001,51024-RO-BC -> 5606-RO- -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,5,686.8600000000001,51024-RO-BC -> 5606-RO-B -> 1299-SE- -> 2603-DK- -> 1741-FI-18 -> 1926-FI-18,0.0
2023-08-10,0,208353-FR-PAC,204072-EE-37,5,339.11,208353-FR-PAC -> 3215-FR- -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,5,339.11,208353-FR-PAC -> 3215-FR-IDF -> 5511-FR- -> 1299-SE- -> 3249-EE-37 -> 204072-EE-37,0.0
2023-08-10,0,33839-RO-CT,15629-HU-,5,1320.03,33839-RO-CT -> 5606-RO- -> 1299-SE- -> 3223-NL-NH -> 5483-HU-BU -> 15629-HU-,5,1320.03,33839-RO-CT -> 5606-RO-B -> 1299-SE- -> 3223-NL-NH -> 5483-HU-PE -> 15629-HU-,0.0
2023-08-10,0,210543-AT-,50988-PL-12,5,1704.5500000000002,210543-AT- -> 1853-AT-1 -> 1764-AT- -> 1299-SE- -> 5617-PL-02 -> 50988-PL-12,5,1704.5500000000002,210543-AT- -> 1853-AT-9 -> 1764-AT-9 -> 1299-SE- -> 5617-PL-14 -> 50988-PL-12,0.0
