date,hour,source_as,target_as,emissions_length_SP,emissions_total_SP,emissions_path_SP,emissions_length_LE,emissions_total_LE,emissions_path_LE,emission_difference
2023-01-10,0,200086-DE-BE,206266-DE-NW,2,1211.43,200086-DE-BE -> 3320-DE-BW -> 206266-DE-NW,2,1211.43,200086-DE-BE -> 3320-DE-NW -> 206266-DE-NW,0.0
2023-01-10,0,48942-SE-O,1653-SE-,2,31.56,48942-SE-O -> 1257-SE-AB -> 1653-SE-,2,31.56,48942-SE-O -> 1257-SE-AB -> 1653-SE-,0.0
2023-01-10,0,200576-DE-NI,12801-DE-MV,2,1211.43,200576-DE-NI -> 3320-DE-BW -> 12801-DE-MV,2,1211.43,200576-DE-NI -> 3320-DE-NW -> 12801-DE-MV,0.0
2023-01-10,0,12316-DE-,209729-DE-,2,1211.43,12316-DE- -> 3320-DE-BW -> 209729-DE-,2,1211.43,12316-DE- -> 3320-DE-NW -> 209729-DE-,0.0
2023-01-10,0,288-DE-,197829-ES-NC,2,562.03,288-DE- -> 766-ES-AN -> 197829-ES-NC,2,562.03,288-DE- -> 766-ES-CL -> 197829-ES-NC,0.0
2023-01-10,0,39372-AT-3,42652-DE-,2,546.82,39372-AT-3 -> 1299-SE- -> 42652-DE-,2,546.82,39372-AT-3 -> 1299-SE- -> 42652-DE-,0.0
2023-01-10,0,202870-IT-25,3214-DE-NW,2,677.5,202870-IT-25 -> 1299-SE- -> 3214-DE-NW,2,677.5,202870-IT-25 -> 1299-SE- -> 3214-DE-NW,0.0
2023-01-10,0,5405-NL-NH,5466-IE-L,2,385.31,5405-NL-NH -> 1299-SE- -> 5466-IE-L,2,385.31,5405-NL-NH -> 1299-SE- -> 5466-IE-L,0.0
2023-01-10,0,61307-EE-68,51013-SK-BL,2,533.98,61307-EE-68 -> 1299-SE- -> 51013-SK-BL,2,533.98,61307-EE-68 -> 1299-SE- -> 51013-SK-BL,0.0
2023-01-10,0,41307-DE-BY,60948-DE-,2,1211.43,41307-DE-BY -> 3320-DE-BW -> 60948-DE-,2,1211.43,41307-DE-BY -> 3320-DE-NW -> 60948-DE-,0.0
2023-01-10,0,205809-FR-IDF,31477-NL-NH,2,245.85,205809-FR-IDF -> 1299-SE- -> 31477-NL-NH,2,245.85,205809-FR-IDF -> 1299-SE- -> 31477-NL-NH,0.0
2023-01-10,0,22822-NL-NH,209428-FR-,2,259.96,22822-NL-NH -> 4455-FR- -> 209428-FR-,2,259.96,22822-NL-NH -> 4455-FR- -> 209428-FR-,0.0
2023-01-10,0,41073-IE-L,61296-CZ-80,2,703.8000000000001,41073-IE-L -> 4455-FR- -> 61296-CZ-80,2,703.8000000000001,41073-IE-L -> 4455-FR- -> 61296-CZ-80,0.0
2023-01-10,0,15695-DE-HE,200587-SE-,2,424.85,15695-DE-HE -> 1299-SE- -> 200587-SE-,2,424.85,15695-DE-HE -> 1299-SE- -> 200587-SE-,0.0
2023-01-10,0,21430-CZ-41,3249-EE-37,2,849.1,21430-CZ-41 -> 1299-SE- -> 3249-EE-37,2,849.1,21430-CZ-41 -> 1299-SE- -> 3249-EE-37,0.0
2023-01-10,0,8881-DE-BE,21147-EE-37,2,1050.81,8881-DE-BE -> 3327-EE-37 -> 21147-EE-37,2,1050.81,8881-DE-BE -> 3327-EE-37 -> 21147-EE-37,0.0
2023-01-10,0,39020-ES-AN,35064-NL-,2,314.44,39020-ES-AN -> 4455-FR- -> 35064-NL-,2,314.44,39020-ES-AN -> 4455-FR- -> 35064-NL-,0.0
2023-01-10,0,56672-AT-4,198710-DE-,2,546.82,56672-AT-4 -> 1299-SE- -> 198710-DE-,2,546.82,56672-AT-4 -> 1299-SE- -> 198710-DE-,0.0
2023-01-10,0,208414-CZ-,210492-FR-IDF,2,550.23,208414-CZ- -> 1299-SE- -> 210492-FR-IDF,2,550.23,208414-CZ- -> 1299-SE- -> 210492-FR-IDF,0.0
2023-01-10,0,207265-FI-18,60051-SE-,2,119.79,207265-FI-18 -> 1299-SE- -> 60051-SE-,2,119.79,207265-FI-18 -> 1299-SE- -> 60051-SE-,0.0
2023-01-10,0,60385-SE-,207161-SE-,2,31.56,60385-SE- -> 1299-SE- -> 207161-SE-,2,31.56,60385-SE- -> 1299-SE- -> 207161-SE-,0.0
2023-01-10,0,47261-DE-NI,200567-DE-,2,1211.43,47261-DE-NI -> 3320-DE-BW -> 200567-DE-,2,1211.43,47261-DE-NI -> 3320-DE-NW -> 200567-DE-,0.0
2023-01-10,0,8544-CY-05,62240-DE-BE,2,1310.21,8544-CY-05 -> 1299-SE- -> 62240-DE-BE,2,1310.21,8544-CY-05 -> 1299-SE- -> 62240-DE-BE,0.0
2023-01-10,0,202395-SE-,4229-DE-HE,2,424.85,202395-SE- -> 1299-SE- -> 4229-DE-HE,2,424.85,202395-SE- -> 1299-SE- -> 4229-DE-HE,0.0
2023-01-10,0,8657-PT-11,39063-DE-,2,475.18,8657-PT-11 -> 1299-SE- -> 39063-DE-,2,475.18,8657-PT-11 -> 1299-SE- -> 39063-DE-,0.0
2023-01-10,0,12741-PL-14,51466-BE-,2,1009.57,12741-PL-14 -> 5400-FR-IDF -> 51466-BE-,2,1009.57,12741-PL-14 -> 5400-FR-IDF -> 51466-BE-,0.0
2023-01-10,0,63199-DE-HE,35661-FR-IDF,2,438.96,63199-DE-HE -> 1299-SE- -> 35661-FR-IDF,2,438.96,63199-DE-HE -> 1299-SE- -> 35661-FR-IDF,0.0
2023-01-10,0,209081-DE-BW,28716-IT-25,2,1070.79,209081-DE-BW -> 3320-DE-BW -> 28716-IT-25,2,1070.79,209081-DE-BW -> 3320-DE-NW -> 28716-IT-25,0.0
2023-01-10,0,1267-IT-45,60032-FR-IDF,2,298.32,1267-IT-45 -> 1299-SE- -> 60032-FR-IDF,2,298.32,1267-IT-45 -> 1299-SE- -> 60032-FR-IDF,0.0
2023-01-10,0,205151-SE-,39603-PL-14,2,902.62,205151-SE- -> 1299-SE- -> 39603-PL-14,2,902.62,205151-SE- -> 1299-SE- -> 39603-PL-14,0.0
2023-01-10,0,51108-RO-,15435-NL-OV,2,704.74,51108-RO- -> 5606-RO- -> 15435-NL-OV,2,704.74,51108-RO- -> 5606-RO-B -> 15435-NL-OV,0.0
2023-01-10,0,12741-PL-02,60269-SE-AB,2,902.62,12741-PL-02 -> 2119-SE-AB -> 60269-SE-AB,2,902.62,12741-PL-02 -> 2119-SE-AB -> 60269-SE-AB,0.0
2023-01-10,0,50462-DE-HE,205769-DE-RP,2,1211.43,50462-DE-HE -> 3320-DE-BW -> 205769-DE-RP,2,1211.43,50462-DE-HE -> 3320-DE-NW -> 205769-DE-RP,0.0
2023-01-10,0,44002-CZ-10,24785-NL-,2,736.3,44002-CZ-10 -> 1299-SE- -> 24785-NL-,2,736.3,44002-CZ-10 -> 1299-SE- -> 24785-NL-,0.0
2023-01-10,0,57317-DE-,51417-DE-BW,2,1211.43,57317-DE- -> 3320-DE-BW -> 51417-DE-BW,2,1211.43,57317-DE- -> 3320-DE-NW -> 51417-DE-BW,0.0
2023-01-10,0,210792-DK-,61397-DK-84,2,601.98,210792-DK- -> 3292-DK-82 -> 61397-DK-84,2,601.98,210792-DK- -> 3292-DK-82 -> 61397-DK-84,0.0
2023-01-10,0,29119-ES-AN,199893-AT-9,2,344.09000000000003,29119-ES-AN -> 1764-AT- -> 199893-AT-9,2,344.09000000000003,29119-ES-AN -> 1764-AT-9 -> 199893-AT-9,0.0
2023-01-10,0,12552-SE-,199496-ES-CT,2,114.26,12552-SE- -> 4455-FR- -> 199496-ES-CT,2,114.26,12552-SE- -> 4455-FR- -> 199496-ES-CT,0.0
2023-01-10,0,31554-RO-,34628-FR-,2,282.17,31554-RO- -> 1299-SE- -> 34628-FR-,2,282.17,31554-RO- -> 1299-SE- -> 34628-FR-,0.0
2023-01-10,0,8674-SE-,211143-DE-HE,2,424.85,8674-SE- -> 1299-SE- -> 211143-DE-HE,2,424.85,8674-SE- -> 1299-SE- -> 211143-DE-HE,0.0
2023-01-10,0,48951-DE-HE,47957-FR-,2,832.25,48951-DE-HE -> 3320-DE-BW -> 47957-FR-,3,798.65,48951-DE-HE -> 3491-US- -> 1299-SE- -> 47957-FR-,4.037248
2023-01-10,0,60749-FR-HDF,35625-FR-HDF,2,73.89,60749-FR-HDF -> 3215-FR- -> 35625-FR-HDF,2,73.89,60749-FR-HDF -> 3215-FR-IDF -> 35625-FR-HDF,0.0
2023-01-10,0,15735-MT-04,59866-HR-,2,749.69,15735-MT-04 -> 1299-SE- -> 59866-HR-,2,749.69,15735-MT-04 -> 1299-SE- -> 59866-HR-,0.0
2023-01-10,0,43186-DE-,6855-SK-ZI,2,1007.58,43186-DE- -> 3320-DE-BW -> 6855-SK-ZI,2,1007.58,43186-DE- -> 3320-DE-NW -> 6855-SK-ZI,0.0
2023-01-10,0,206264-NL-NH,13046-HR-21,2,592.33,206264-NL-NH -> 1299-SE- -> 13046-HR-21,2,592.33,206264-NL-NH -> 1299-SE- -> 13046-HR-21,0.0
2023-01-10,0,62336-DE-,48659-PL-18,2,1295.91,62336-DE- -> 1299-SE- -> 48659-PL-18,2,1295.91,62336-DE- -> 1299-SE- -> 48659-PL-18,0.0
2023-01-10,0,5410-FR-ARA,20918-DE-,2,832.25,5410-FR-ARA -> 3320-DE-BW -> 20918-DE-,2,832.25,5410-FR-ARA -> 3320-DE-NW -> 20918-DE-,0.0
2023-01-10,0,44973-DE-,2611-BE-BRU,2,531.8,44973-DE- -> 4455-FR- -> 2611-BE-BRU,2,531.8,44973-DE- -> 4455-FR- -> 2611-BE-BRU,0.0
2023-01-10,0,49769-SE-,196819-DE-RP,2,424.85,49769-SE- -> 1299-SE- -> 196819-DE-RP,2,424.85,49769-SE- -> 1299-SE- -> 196819-DE-RP,0.0
2023-01-10,0,34428-IT-,42473-DE-HE,2,677.5,34428-IT- -> 1299-SE- -> 42473-DE-HE,2,677.5,34428-IT- -> 1299-SE- -> 42473-DE-HE,0.0
2023-01-10,0,8727-SI-103,2119-SE-O,2,565.6999999999999,8727-SI-103 -> 5603-SI-061 -> 2119-SE-O,2,565.6999999999999,8727-SI-103 -> 5603-SI-061 -> 2119-SE-O,0.0
2023-01-10,0,49294-DE-,13058-DE-BE,2,1211.43,49294-DE- -> 3320-DE-BW -> 13058-DE-BE,2,1211.43,49294-DE- -> 3320-DE-NW -> 13058-DE-BE,0.0
2023-01-10,0,204940-IT-,202017-IT-72,2,789.51,204940-IT- -> 3302-IT-25 -> 202017-IT-72,2,789.51,204940-IT- -> 3302-IT-25 -> 202017-IT-72,0.0
2023-01-10,0,25394-DE-HE,44066-DE-,2,862.25,25394-DE-HE -> 174-GB-ENG -> 44066-DE-,2,862.25,25394-DE-HE -> 174-GB-ENG -> 44066-DE-,0.0
2023-01-10,0,25113-FR-,1136-NL-GE,2,259.96,25113-FR- -> 5511-FR- -> 1136-NL-GE,2,259.96,25113-FR- -> 5511-FR- -> 1136-NL-GE,0.0
