source_as,target_as,path_length
701-US-NJ,3292-DK-85,1
701-US-PA,20940-SG-,1
701-US-NJ,6830-CH-ZH,1
7922-US-IL,3320-DE-NW,1
3786-KR-11,2914-JP-,1
812-CA-ON,7922-US-MA,1
2516-JP-,7922-US-IL,1
3320-DE-NI,2914-US-NY,1
3356-US-TX,8220-IT-25,1
12709-MT-49,3356-US-CA,1
4837-CN-SD,3257-US-NY,1
3303-CH-VD,4134-CN-,1
4134-CN-GD,20940-HK-,1
2914-GB-,1136-NL-ZH,1
701-US-MD,6167-US-,1
3356-US-TX,701-US-NY,1
701-US-VA,7792-US-MN,1
3356-US-TX,26615-BR-RJ,1
4766-KR-,6830-CH-ZH,1
852-CA-AB,7922-US-MA,1
3462-TW-KHH,1267-IT-21,1
174-US-NY,3257-GB-ENG,1
20940-KR-11,209-US-FL,1
7922-US-IN,4766-KR-11,1
4766-KR-41,8075-US-AZ,1
4788-MY-14,3356-US-,1
1136-NL-UT,3320-DE-HE,1
3356-US-CA,749-US-,1
3320-DE-NW,7018-US-,1
4766-KR-,21859-US-CA,1
20940-US-NJ,4134-CN-GD,1
6327-CA-BC,4766-KR-,1
4780-TW-KHH,4134-CN-,1
16232-IT-,3269-IT-52,1
1221-AU-QLD,20940-DE-HE,1
9924-TW-NWT,4134-CN-GD,1
2119-NO-34,4837-CN-SD,1
20940-FR-IDF,3356-US-,1
3561-US-,3356-US-,1
20940-US-,2914-GB-,1
20940-GB-ENG,3303-CH-AG,1
45899-VN-SG,3303-CH-VD,1
701-US-MD,7922-US-CO,1
7922-US-MD,4766-KR-11,1
14061-GB-ENG,3462-TW-KHH,1
17676-JP-13,3356-US-,1
3320-DE-NW,6830-CH-ZH,1
20940-US-,5713-ZA-WC,1
701-US-VA,20940-US-NJ,1
132203-SG-,4766-KR-41,1
2914-JP-,9318-KR-41,1
4837-CN-,2914-JP-,1
55256-DE-HE,3320-DE-BW,1
3320-DE-BY,3303-CH-BE,1
5650-US-TX,3356-US-,1
7922-US-GA,3257-US-NY,1
3356-US-,4454-US-TN,1
17676-JP-27,3356-US-,1
