source_as,target_as,path_length
7522-JP-36,8619-GB-ENG,4
44165-RU-,749-US-,4
30722-IT-25,133832-ID-,4
201529-GB-ENG,22773-US-AZ,4
15239-US-NJ,6167-US-FL,4
21422-GB-,3209-DE-BW,4
44381-NO-50,18563-CA-ON,4
4249-US-,40846-CA-ON,4
397773-US-MD,17858-KR-41,4
749-US-,204343-RU-MOW,4
198400-AT-9,16625-AU-NSW,4
4739-AU-SA,41265-DE-,4
21928-US-,135454-ID-,4
749-US-,24260-JP-13,4
3215-FR-,18128-JP-26,4
34885-AT-5,21826-VE-M,4
23679-ID-JK,52013-FR-,4
53775-US-PA,16625-FR-IDF,4
17865-KR-,7029-US-NC,4
6713-MA-04,2510-JP-,4
54058-US-,16625-US-GA,4
224-NO-54,13043-DE-,4
33643-US-NM,62676-US-MI,4
204694-IT-72,4808-CN-BJ,4
4249-US-,10264-CA-ON,4
57111-IT-75,24183-NZ-CAN,4
58811-CN-,10497-US-VA,4
140020-ID-JB,198878-ES-,4
8659-CH-,49505-RU-,4
207819-EE-,16625-US-CA,4
150266-ID-,17858-KR-41,4
50624-FR-IDF,58231-RU-,4
200350-RU-MOW,16625-US-TX,4
57608-GB-,19554-CA-,4
9723-AU-VIC,36791-US-OR,4
34098-RU-,16625-JP-13,4
16625-US-TX,43514-IL-M,4
17116-US-NY,17766-AU-,4
5723-US-MD,16625-GB-ENG,4
17574-KR-,22394-US-,4
26631-US-,7011-US-CA,4
61612-BR-SP,7522-JP-38,4
131847-KR-41,16625-NL-NH,4
64050-SG-,137217-NZ-AUK,4
59801-RU-,3741-ZA-KZN,4
17676-JP-14,17595-KR-,4
37542-ZA-FS,51964-DE-HE,4
9808-CN-,139873-AU-WA,4
131946-JP-,7922-US-FL,4
4898-US-TX,24364-CN-,4
4181-US-WI,205379-SI-,4
1729-SE-,207096-GB-,4
2841-SE-O,701-US-MD,4
8111-CA-NS,57506-NO-,4
205887-DE-,7018-US-CA,4
7922-US-CO,201603-SK-TA,4
9318-KR-11,204793-DK-83,4
201503-DK-84,16625-DE-HE,4
1221-AU-QLD,17429-CN-,4
47288-TR-22,327934-TN-,4
21506-BR-DF,9808-CN-,4
133411-US-,16625-GB-ENG,4
